Red Ball,Frequency
1,4
2,7
3,9
4,7
5,1
6,1
7,9
8,9
9,4
10,9
11,3
12,7
13,6
14,8
15,9
16,5
17,1
18,3
19,8
20,6
21,8
22,9
23,4
24,1
25,1
26,4
